account_id,account_name,industry,country,region,segment,employee_band,created_date,owner_seller_id
A0069,Nile Health Group,Energy,Canada,Americas,Mid-Market,250-999,2022-07-06,S016
A0070,Atlas Freight Holdings,Education,Netherlands,EMEA,Mid-Market,1000-4999,2023-02-02,S038
A0071,Harbor Retail GmbH,Professional Services,United Kingdom,EMEA,Mid-Market,250-999,2023-02-14,S013
A0072,Cedar Studios Holdings,Manufacturing,Brazil,Americas,SMB,50-249,2023-12-29,S028
A0073,Vertex Labs S.A.,Energy,Canada,Americas,Mid-Market,250-999,2023-08-18,S009
A0074,Cedar Clinics Co.,Manufacturing,United States,Americas,SMB,50-249,2021-05-02,S029
A0075,Orbit Media Co.,Financial Services,Mexico,Americas,Mid-Market,1000-4999,2024-06-08,S005
A0076,Pioneer Media Ltd,Hospitality,Mexico,Americas,SMB,10-49,2024-03-21,S026
A0077,Delta Health S.A.,Energy,South Africa,EMEA,Mid-Market,1000-4999,2021-06-12,S040
A0078,Lumen Clinics LLC,Education,Mexico,Americas,SMB,10-49,2025-01-31,S018
A0079,Pioneer Learning Ltd,Education,Singapore,APAC,SMB,10-49,2023-10-22,S023
A0080,Summit Consulting Holdings,Retail,Singapore,APAC,Mid-Market,1000-4999,2021-05-12,S014
A0081,Coral Clinics Inc.,Energy,United Arab Emirates,EMEA,Mid-Market,250-999,2023-02-02,S021
A0082,Harbor Consulting Group,Retail,Mexico,Americas,SMB,50-249,2024-07-20,S011
A0083,North Systems LLC,Retail,United Kingdom,EMEA,Mid-Market,1000-4999,2022-03-11,S002
A0084,Harbor Systems LLC,Education,Singapore,APAC,Mid-Market,250-999,2024-12-18,S006
A0085,Summit Markets Inc.,Retail,South Africa,EMEA,SMB,10-49,2022-10-11,S004
A0086,Sahara Studios Holdings,Manufacturing,Australia,APAC,SMB,50-249,2021-12-17,S012
A0087,Summit Markets Holdings,Professional Services,South Africa,EMEA,SMB,50-249,2022-07-07,S004
A0088,Zenith Energy LLC,Technology,South Africa,EMEA,Mid-Market,250-999,2023-03-25,S013
A0089,Vertex Studios Holdings,Healthcare,United States,Americas,SMB,50-249,2023-12-04,S037
A0090,Vertex Health S.A.,Technology,Saudi Arabia,EMEA,SMB,50-249,2024-12-10,S027
A0091,Granite Motors GmbH,Professional Services,Brazil,Americas,Mid-Market,250-999,2021-10-30,S005
A0092,Nova Retail GmbH,Healthcare,Netherlands,EMEA,Mid-Market,250-999,2025-01-29,S025
A0093,Falcon Industries Holdings,Technology,India,APAC,Mid-Market,250-999,2023-03-30,S003
A0094,North Motors S.A.,Logistics,Canada,Americas,Mid-Market,250-999,2021-07-18,S009
A0095,Sahara Markets Inc.,Hospitality,United Kingdom,EMEA,Mid-Market,250-999,2024-12-07,S002
A0096,Lumen Learning Inc.,Manufacturing,Mexico,Americas,Mid-Market,250-999,2022-06-26,S005
A0097,Prime Hotels LLC 96,Healthcare,Egypt,EMEA,Mid-Market,250-999,2023-08-21,S002
A0098,Harbor Pharma LLC,Financial Services,Brazil,Americas,SMB,10-49,2023-12-19,S028
A0099,Silver Clinics S.A.,Financial Services,Singapore,APAC,SMB,10-49,2021-01-21,S019
A0100,Prime Freight Co.,Hospitality,United States,Americas,SMB,10-49,2021-12-10,S026
A0101,Sahara Capital Holdings,Technology,Australia,APAC,Mid-Market,1000-4999,2023-12-01,S014
A0102,Vertex Systems Group,Logistics,Singapore,APAC,SMB,50-249,2022-05-19,S023
A0103,Atlas Systems Group,Logistics,France,EMEA,SMB,10-49,2021-01-15,S030
A0104,Nile Consulting Co.,Hospitality,Saudi Arabia,EMEA,SMB,50-249,2021-02-06,S020
A0105,Coral Capital Ltd,Education,Netherlands,EMEA,SMB,50-249,2024-07-05,S020
A0106,Falcon Foods Group,Healthcare,India,APAC,SMB,10-49,2021-08-27,S019
A0107,North Labs LLC,Manufacturing,Mexico,Americas,Mid-Market,250-999,2021-06-05,S005
A0108,Cedar Industries Group,Financial Services,Egypt,EMEA,Mid-Market,250-999,2023-05-23,S021
A0109,Summit Freight Ltd,Professional Services,Brazil,Americas,SMB,10-49,2021-07-04,S011
A0110,Harbor Studios Holdings,Education,Saudi Arabia,EMEA,SMB,50-249,2023-10-10,S035
A0111,Silver Energy S.A.,Education,Canada,Americas,SMB,10-49,2023-04-24,S026
A0112,Vertex Textiles Ltd,Education,Egypt,EMEA,Mid-Market,1000-4999,2023-10-04,S038
A0113,Pioneer Industries GmbH,Energy,France,EMEA,Mid-Market,1000-4999,2023-02-02,S040
A0114,Sahara Learning S.A. 113,Energy,United Arab Emirates,EMEA,SMB,10-49,2024-04-22,S017
A0115,Coral Energy Inc.,Manufacturing,France,EMEA,Mid-Market,1000-4999,2023-09-28,S040
A0116,Silver Foods S.A.,Manufacturing,France,EMEA,SMB,50-249,2022-10-07,S017
A0117,Vertex Clinics S.A.,Healthcare,Netherlands,EMEA,SMB,10-49,2021-01-24,S004
A0118,Nile Pharma Ltd,Hospitality,France,EMEA,Mid-Market,250-999,2022-03-01,S002
A0119,Granite Motors S.A.,Education,Saudi Arabia,EMEA,SMB,10-49,2021-07-23,S004
A0120,Harbor Consulting Inc.,Hospitality,Australia,APAC,SMB,10-49,2021-01-25,S032
A0121,Vertex Hotels GmbH,Professional Services,Mexico,Americas,SMB,50-249,2022-02-28,S028
A0122,Summit Media S.A.,Logistics,Canada,Americas,Mid-Market,250-999,2021-11-17,S009
A0123,Nova Motors LLC,Healthcare,United States,Americas,Mid-Market,250-999,2021-04-30,S009
A0124,Orbit Health S.A.,Financial Services,South Africa,EMEA,Mid-Market,250-999,2022-04-30,S013
A0125,Pioneer Clinics Co.,Manufacturing,United Arab Emirates,EMEA,SMB,10-49,2023-02-25,S031
A0126,Granite Retail GmbH,Logistics,United Kingdom,EMEA,SMB,10-49,2021-10-04,S035
A0127,Falcon Clinics Inc.,Healthcare,United Arab Emirates,EMEA,Mid-Market,250-999,2022-02-28,S002
A0128,Nile Systems LLC,Healthcare,United States,Americas,SMB,50-249,2021-02-01,S036
A0129,North Motors Co.,Retail,Japan,APAC,Mid-Market,250-999,2021-03-20,S006
A0130,Atlas Capital Co.,Technology,United Arab Emirates,EMEA,Mid-Market,250-999,2021-09-02,S002
A0131,Summit Industries Co.,Energy,Brazil,Americas,SMB,10-49,2022-12-04,S039
A0132,Falcon Foods GmbH,Education,Brazil,Americas,Mid-Market,250-999,2023-10-31,S005
A0133,Harbor Textiles LLC,Logistics,United States,Americas,SMB,10-49,2024-05-07,S022
A0134,Coral Energy S.A.,Energy,United States,Americas,SMB,10-49,2023-09-04,S011
A0135,North Markets LLC,Logistics,Mexico,Americas,SMB,50-249,2023-08-15,S028
A0136,Zenith Media Group,Professional Services,Australia,APAC,SMB,10-49,2024-12-22,S023
A0137,Prime Foods Group,Education,Egypt,EMEA,Mid-Market,250-999,2022-02-01,S015
A0138,Sahara Textiles Ltd,Logistics,Mexico,Americas,Mid-Market,250-999,2024-05-22,S005
A0139,Coral Energy Holdings,Logistics,Saudi Arabia,EMEA,Mid-Market,250-999,2024-12-24,S002
A0140,Nile Markets Co.,Technology,Egypt,EMEA,Mid-Market,250-999,2023-05-31,S040
A0141,Falcon Textiles Ltd,Professional Services,Japan,APAC,SMB,50-249,2024-07-27,S032
A0142,Summit Freight Group,Logistics,Egypt,EMEA,SMB,50-249,2021-08-02,S035
A0143,Vertex Freight Ltd,Retail,United Kingdom,EMEA,Mid-Market,1000-4999,2024-09-24,S021
A0144,Harbor Textiles Holdings,Energy,Mexico,Americas,Mid-Market,250-999,2023-05-25,S016
A0145,Nova Industries GmbH,Hospitality,Australia,APAC,SMB,10-49,2021-12-10,S032
A0146,Prime Motors Co.,Manufacturing,United Kingdom,EMEA,SMB,10-49,2021-04-06,S020
A0147,Sahara Labs Ltd,Healthcare,Singapore,APAC,SMB,50-249,2024-01-22,S019
A0148,Silver Consulting LLC,Energy,United States,Americas,SMB,10-49,2022-10-31,S022
A0149,Sahara Health Ltd,Financial Services,Australia,APAC,Mid-Market,1000-4999,2022-04-26,S006
A0150,Nile Labs LLC,Hospitality,South Africa,EMEA,SMB,50-249,2022-08-29,S001
A0151,Nova Textiles Inc.,Technology,United States,Americas,Mid-Market,250-999,2025-03-18,S005
A0152,Zenith Hotels Ltd,Hospitality,South Africa,EMEA,Mid-Market,1000-4999,2022-10-26,S038
A0153,Cedar Motors Inc.,Retail,Germany,EMEA,Mid-Market,1000-4999,2021-05-03,S040
A0154,Orbit Studios Group,Education,Brazil,Americas,SMB,10-49,2022-03-11,S018
A0155,Atlas Energy Co.,Logistics,United Arab Emirates,EMEA,SMB,10-49,2021-08-14,S004
A0156,Cedar Hotels LLC,Hospitality,Australia,APAC,Mid-Market,250-999,2023-11-30,S003
A0157,Atlas Freight Group,Healthcare,United States,Americas,Mid-Market,1000-4999,2024-05-26,S033
A0158,Pioneer Consulting LLC,Financial Services,Saudi Arabia,EMEA,SMB,50-249,2024-07-28,S008
A0159,Prime Energy Inc.,Manufacturing,France,EMEA,Mid-Market,250-999,2023-09-09,S015
A0160,Nile Markets Ltd,Technology,United States,Americas,SMB,10-49,2024-04-06,S011
A0161,Granite Systems LLC,Energy,Singapore,APAC,Mid-Market,250-999,2022-10-10,S024
A0162,Vertex Logistics GmbH,Manufacturing,United Kingdom,EMEA,SMB,10-49,2023-09-01,S010
A0163,Vertex Systems Inc.,Healthcare,United States,Americas,SMB,10-49,2021-06-15,S036
A0164,Harbor Capital LLC,Financial Services,Singapore,APAC,SMB,50-249,2023-04-15,S023
A0165,North Textiles GmbH,Hospitality,Singapore,APAC,SMB,10-49,2023-05-15,S012
A0166,Granite Retail Inc.,Education,Brazil,Americas,SMB,10-49,2021-02-18,S037
A0167,Zenith Retail GmbH,Healthcare,Japan,APAC,SMB,50-249,2023-05-01,S023
A0168,Sahara Textiles LLC,Financial Services,Mexico,Americas,SMB,10-49,2024-01-27,S034
A0169,Silver Capital Group,Logistics,India,APAC,Mid-Market,250-999,2022-07-25,S003
A0170,Summit Media Group,Financial Services,Egypt,EMEA,SMB,10-49,2023-04-26,S031
A0171,Prime Industries Group,Manufacturing,Egypt,EMEA,Mid-Market,250-999,2022-03-20,S040
A0172,Prime Capital S.A.,Hospitality,Brazil,Americas,Mid-Market,250-999,2022-02-24,S009
A0173,Zenith Logistics Holdings,Education,India,APAC,SMB,10-49,2021-07-20,S012
A0174,Silver Logistics Co.,Healthcare,United States,Americas,SMB,50-249,2022-05-24,S037
A0175,Orbit Clinics Ltd,Technology,Mexico,Americas,Mid-Market,250-999,2024-05-30,S033
A0176,North Motors Holdings,Technology,Mexico,Americas,Mid-Market,1000-4999,2024-12-22,S016
A0177,Cedar Capital Holdings,Manufacturing,Netherlands,EMEA,SMB,10-49,2023-09-13,S020
A0178,Nile Textiles Co.,Retail,Canada,Americas,Mid-Market,250-999,2023-08-27,S005
A0179,Orbit Learning Inc.,Retail,Australia,APAC,SMB,50-249,2023-08-11,S012
A0180,Orbit Hotels Co.,Technology,United Kingdom,EMEA,SMB,10-49,2023-01-09,S035
A0181,Pioneer Studios Inc.,Professional Services,United States,Americas,Mid-Market,250-999,2022-10-19,S009
A0182,Delta Motors GmbH,Technology,Brazil,Americas,SMB,50-249,2023-08-22,S022
A0183,Blue Retail Inc.,Professional Services,Brazil,Americas,Mid-Market,250-999,2024-05-01,S016
A0184,Coral Textiles S.A.,Education,Germany,EMEA,SMB,50-249,2022-10-04,S001
A0185,North Learning Ltd,Logistics,Japan,APAC,Mid-Market,250-999,2023-05-28,S003
A0186,Sahara Clinics Holdings,Technology,Brazil,Americas,SMB,50-249,2022-12-31,S022
A0187,Atlas Foods GmbH,Financial Services,Australia,APAC,SMB,10-49,2022-03-19,S019
A0188,Pioneer Industries Holdings,Energy,Brazil,Americas,SMB,50-249,2022-03-27,S026
A0189,Prime Logistics LLC,Hospitality,Japan,APAC,SMB,10-49,2021-05-03,S012
A0190,Pioneer Pharma GmbH,Hospitality,Australia,APAC,Mid-Market,1000-4999,2022-11-14,S006
A0191,Falcon Pharma Inc.,Energy,Saudi Arabia,EMEA,SMB,50-249,2024-01-11,S008
A0192,Orbit Health GmbH,Financial Services,Netherlands,EMEA,SMB,50-249,2023-11-30,S017
A0193,Orbit Health S.A. 192,Manufacturing,Australia,APAC,SMB,10-49,2025-03-09,S023
A0194,Delta Capital Ltd,Education,Mexico,Americas,SMB,10-49,2021-03-03,S037
A0195,North Pharma LLC,Technology,United States,Americas,Mid-Market,250-999,2024-03-25,S033
A0196,Summit Consulting LLC,Technology,Canada,Americas,SMB,10-49,2024-05-18,S022
A0197,Pioneer Learning LLC,Financial Services,South Africa,EMEA,Mid-Market,250-999,2022-11-08,S040
A0198,Falcon Freight Inc.,Healthcare,United Kingdom,EMEA,SMB,50-249,2022-03-15,S017
A0199,Vertex Studios S.A.,Education,South Africa,EMEA,Mid-Market,1000-4999,2022-07-08,S013
A0200,Summit Textiles Group,Hospitality,India,APAC,SMB,50-249,2023-11-25,S019
A0201,Granite Retail S.A.,Retail,United States,Americas,SMB,50-249,2024-08-30,S036
A0202,Granite Industries Holdings,Financial Services,Netherlands,EMEA,Mid-Market,1000-4999,2023-09-24,S038
A0203,Sahara Clinics Ltd,Healthcare,Canada,Americas,Mid-Market,250-999,2023-03-09,S009
A0204,Vertex Textiles Co.,Hospitality,Brazil,Americas,Mid-Market,250-999,2023-10-10,S005
A0205,Nile Energy Inc.,Education,Germany,EMEA,SMB,10-49,2021-04-20,S007
A0206,Falcon Capital Group,Retail,Singapore,APAC,SMB,10-49,2023-08-02,S012
A0207,Nova Labs Ltd,Healthcare,South Africa,EMEA,Mid-Market,250-999,2021-03-07,S025
A0208,Harbor Pharma Ltd,Retail,United States,Americas,SMB,50-249,2025-01-27,S029
A0209,Harbor Motors Inc.,Education,Netherlands,EMEA,Mid-Market,250-999,2024-10-11,S021
A0210,Delta Systems LLC,Energy,Mexico,Americas,SMB,50-249,2023-02-28,S034
A0211,Lumen Consulting Inc.,Logistics,Australia,APAC,SMB,50-249,2022-08-04,S032
A0212,Granite Capital LLC,Hospitality,Germany,EMEA,Mid-Market,1000-4999,2024-02-10,S038
A0213,Coral Foods Ltd,Technology,United States,Americas,Mid-Market,250-999,2023-09-16,S005
A0214,Blue Industries Group,Hospitality,Brazil,Americas,SMB,10-49,2023-12-31,S029
A0215,Silver Learning S.A.,Financial Services,Canada,Americas,SMB,50-249,2023-03-11,S037
A0216,Blue Hotels Ltd,Energy,India,APAC,Mid-Market,1000-4999,2022-01-02,S024
A0217,Harbor Motors Inc. 216,Healthcare,Saudi Arabia,EMEA,SMB,10-49,2021-04-24,S008
A0218,Atlas Capital Inc.,Education,South Africa,EMEA,SMB,50-249,2022-03-16,S010
A0219,Atlas Hotels Ltd,Professional Services,Saudi Arabia,EMEA,SMB,10-49,2023-04-01,S031
A0220,Coral Capital GmbH,Healthcare,United Arab Emirates,EMEA,Mid-Market,1000-4999,2022-10-20,S002
A0221,Falcon Learning Inc.,Healthcare,Brazil,Americas,Mid-Market,250-999,2023-02-25,S016
A0222,North Markets Holdings,Manufacturing,India,APAC,SMB,50-249,2022-03-07,S012
A0223,Zenith Labs Holdings,Retail,Mexico,Americas,SMB,50-249,2024-12-25,S037
A0224,Granite Retail S.A. 223,Logistics,Netherlands,EMEA,SMB,10-49,2022-07-23,S001
A0225,Silver Industries Group,Energy,South Africa,EMEA,SMB,50-249,2024-08-05,S001
A0226,Sahara Textiles Co.,Healthcare,South Africa,EMEA,SMB,10-49,2022-08-30,S008
A0227,Delta Industries Group,Education,India,APAC,SMB,50-249,2022-11-20,S012
A0228,Harbor Textiles S.A.,Energy,United States,Americas,Mid-Market,1000-4999,2023-07-26,S009
A0229,Silver Clinics Group,Technology,Saudi Arabia,EMEA,SMB,50-249,2022-02-13,S008
A0230,Falcon Energy Co.,Retail,Germany,EMEA,SMB,10-49,2021-12-08,S008
A0231,Zenith Pharma S.A.,Logistics,South Africa,EMEA,SMB,10-49,2022-08-12,S020
A0232,Atlas Textiles GmbH,Manufacturing,Brazil,Americas,Mid-Market,250-999,2024-06-01,S016
A0233,Lumen Logistics LLC,Healthcare,Brazil,Americas,Mid-Market,250-999,2021-08-13,S033
A0234,Pioneer Energy S.A.,Healthcare,Mexico,Americas,SMB,10-49,2022-11-10,S028
A0235,Orbit Hotels Group,Professional Services,Brazil,Americas,Mid-Market,250-999,2023-11-09,S016
A0236,Silver Capital LLC,Manufacturing,Germany,EMEA,SMB,10-49,2024-01-01,S027
A0237,Summit Motors Holdings,Healthcare,Germany,EMEA,SMB,50-249,2022-11-05,S004
A0238,Silver Motors Ltd,Healthcare,United Kingdom,EMEA,Mid-Market,250-999,2021-05-07,S025
A0239,North Capital Co.,Financial Services,Egypt,EMEA,SMB,10-49,2021-01-25,S031
A0240,Summit Pharma S.A.,Professional Services,France,EMEA,SMB,50-249,2022-12-30,S008
A0241,Atlas Hotels GmbH,Financial Services,Brazil,Americas,SMB,10-49,2024-06-10,S018
A0242,Sahara Hotels GmbH,Financial Services,France,EMEA,SMB,50-249,2021-02-13,S008
A0243,Orbit Capital GmbH,Logistics,Brazil,Americas,Mid-Market,1000-4999,2024-10-08,S009
A0244,Coral Media Co.,Professional Services,Mexico,Americas,SMB,50-249,2023-11-15,S029
A0245,Zenith Hotels LLC 244,Retail,South Africa,EMEA,SMB,50-249,2021-01-13,S031
A0246,Granite Logistics S.A.,Hospitality,United Kingdom,EMEA,SMB,50-249,2022-06-18,S020
A0247,Zenith Hotels Co.,Energy,Canada,Americas,SMB,10-49,2021-12-08,S018
A0248,Orbit Industries GmbH,Professional Services,Egypt,EMEA,SMB,10-49,2025-01-12,S008
A0249,Orbit Health S.A. 248,Logistics,Netherlands,EMEA,SMB,50-249,2023-05-11,S027
A0250,Cedar Clinics Ltd,Professional Services,South Africa,EMEA,Mid-Market,250-999,2022-05-18,S015
A0251,Sahara Hotels Co.,Education,France,EMEA,SMB,10-49,2022-03-08,S020
A0252,Vertex Systems Holdings,Financial Services,Netherlands,EMEA,SMB,10-49,2023-05-25,S027
A0253,Silver Logistics Group,Financial Services,Mexico,Americas,SMB,50-249,2021-01-08,S026
A0254,Lumen Markets S.A.,Manufacturing,Netherlands,EMEA,SMB,50-249,2022-02-04,S027
A0255,Blue Logistics S.A.,Hospitality,United Kingdom,EMEA,SMB,50-249,2021-09-14,S010
A0256,Silver Studios Ltd,Financial Services,Egypt,EMEA,Mid-Market,250-999,2023-08-20,S002
A0257,Nile Industries Ltd,Healthcare,Egypt,EMEA,SMB,10-49,2023-11-04,S010
A0258,Atlas Health S.A.,Energy,United States,Americas,Mid-Market,250-999,2022-12-26,S009
A0259,Nova Textiles Inc. 258,Logistics,Germany,EMEA,Mid-Market,250-999,2021-08-06,S002
A0260,Blue Health LLC,Professional Services,France,EMEA,SMB,50-249,2022-07-29,S031
A0261,Prime Retail GmbH,Healthcare,Singapore,APAC,SMB,10-49,2024-07-31,S023
A0262,Orbit Consulting GmbH,Healthcare,India,APAC,SMB,50-249,2021-11-12,S012
A0263,Harbor Textiles GmbH,Technology,United Arab Emirates,EMEA,Mid-Market,250-999,2021-09-11,S040
A0264,Silver Hotels Ltd,Education,South Africa,EMEA,SMB,10-49,2021-06-22,S031
A0265,Harbor Studios S.A.,Manufacturing,South Africa,EMEA,Mid-Market,250-999,2024-06-20,S002
A0266,Delta Freight LLC,Hospitality,Canada,Americas,Mid-Market,1000-4999,2021-07-05,S005
A0267,Prime Health Holdings,Education,Japan,APAC,Mid-Market,1000-4999,2023-06-22,S006
A0268,Zenith Motors Inc.,Professional Services,France,EMEA,SMB,50-249,2025-03-30,S017
A0269,Lumen Pharma Inc.,Financial Services,Mexico,Americas,Mid-Market,250-999,2023-09-23,S016
A0270,Zenith Freight Ltd,Logistics,Mexico,Americas,SMB,10-49,2022-10-02,S028
A0271,Summit Labs S.A.,Technology,Australia,APAC,SMB,10-49,2021-11-17,S023
A0272,Silver Markets Inc.,Hospitality,Canada,Americas,SMB,10-49,2021-01-03,S011
A0273,Vertex Hotels Ltd,Healthcare,Brazil,Americas,Mid-Market,250-999,2021-08-30,S016
A0274,Summit Hotels Holdings,Professional Services,Canada,Americas,SMB,10-49,2025-01-17,S039
A0275,Nova Health S.A.,Energy,Canada,Americas,Mid-Market,250-999,2021-08-11,S016
A0276,Zenith Media S.A.,Professional Services,Brazil,Americas,SMB,50-249,2021-01-31,S028
A0277,Falcon Pharma GmbH,Manufacturing,United Kingdom,EMEA,Mid-Market,250-999,2024-06-19,S015
A0278,Zenith Motors Ltd,Manufacturing,Brazil,Americas,SMB,10-49,2022-10-12,S039
A0279,Cedar Studios S.A.,Healthcare,Singapore,APAC,SMB,50-249,2022-07-08,S012
A0280,Vertex Pharma Co.,Manufacturing,Singapore,APAC,Mid-Market,250-999,2024-01-18,S006
A0281,Nile Health Inc.,Technology,United States,Americas,SMB,50-249,2023-03-23,S018
A0282,Orbit Foods Co.,Energy,Brazil,Americas,SMB,50-249,2024-11-19,S037
A0283,Delta Media GmbH,Logistics,United Kingdom,EMEA,SMB,50-249,2022-12-27,S017
